"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
2;"ATS_SoC";"";"MODBUS";"A";"+310701,1,10.0.33.231";0.1;0;1;0;1;0;0;0;0;0;0;1;0;1;0;"";99.099998;0.9;0;0;1;0;1;1;1;600;10;-1;60;"";"";1;1;0;0;"sheeran.chen@gmail.com";"";"ATS SoC Alert";"";1;0;"";"";0;"";0;"";"";0;"23/07/2020 14:35:49";0;65472;0
3;"ATS_Fault_Word_1";"";"MODBUS";"A";"+310804D,1,10.0.33.231";1;0;1;0;3;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;0;"sheeran.chen@powerstar.com";"";"ATS Fault Alert - Windsor East";"";0;0;"";"";0;"";0;"";"";0;"27/06/2020 06:10:52";0;65472;0
8;"ATS_Time_Y";"";"MODBUS";"A";"+410050,1,10.0.33.231";1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;"";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"tom.csmith@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;"27/06/2020 06:10:52";2020;65472;0
9;"ATS_Time_Mon";"";"MODBUS";"A";"+410051,1,10.0.33.231";1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;"";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"tom.csmith@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;"01/07/2020 01:17:59";7;65472;0
10;"ATS_Time_D";"";"MODBUS";"A";"+410052,1,10.0.33.231";1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;"";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 01:18:52";23;65472;0
11;"ATS_Time_H";"";"MODBUS";"A";"+410053,1,10.0.33.231";1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;"";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 14:18:54";13;65472;0
12;"ATS_Time_Min";"";"MODBUS";"A";"+410054,1,10.0.33.231";1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;"";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 14:35:56";17;65472;0
13;"ATS_Time_S";"";"MODBUS";"A";"+410055,1,10.0.33.231";1;0;0;0;3;0;0;0;0;0;0;1;0;1;1;"";80;20;0;0;1;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 14:36:16";24;65472;0
14;"ATS_Alarm_1";"Low Battery Alarm";"MEM";"";"ATS_Alarm_1";1;0;0;1;0;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;0;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"Low Battery Alert - Centrica East";"";1;0;"";"";0;"";0;"";"";0;"27/06/2020 06:10:46";0;65472;0
17;"ATS_Alarm_Word";"Battery System Fault";"MODBUS";"A";"+310808D,1,10.0.33.231";1;0;0;0;3;1;0;0;0;0;0;1;0;1;1;"";1;-1;0;1;0;0;0;0;1;600;10;1;0;"";"";1;1;0;8;"tom.csmith@powerstar.com; solon.mardapittas@powerstar.com; martin.cunnington@powerstar.com; james.cross@centrica.com";"tom.csmith@powerstar.com; solon.mardapittas@powerstar.com";"Battery System Fault";"";0;0;"";"";0;"";0;"";"";0;"27/06/2020 06:10:52";0;65472;0
