"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
72;"ATS_Alarm_1";"Low Battery Alarm";"MEM";"";"ATS_Alarm_1";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;0;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"Low Battery Alert - Centrica East";"";1;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
74;"ATS_Alarm_3";"Battery Charge Full";"MEM";"";"ATS_Alarm_3";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;1;0;0;0;0;1;600;10;1;0;"";"";1;1;0;0;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"Battery System Alarm - Battery Full Alert";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
75;"ATS_Alarm_2";"SPD Fault";"MEM";"";"ATS_Alarm_2";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;1;0;0;0;0;1;600;10;1;0;"";"";1;1;0;0;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"Load SPD Fail - Centrica East";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
76;"ATS_Fault_1";"PCS Fault";"MEM";"";"ATS_Fault_1";1;0;0;1;1;1;0;0;0;0;0;0;1;0;"";1;-1;0;0;0;0;0;0;3;600;10;-1;0;"";"";1;1;0;0;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"PCS Fault Alert - Centrica East";"";1;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
77;"ATS_Fault_2";"PCS Comms Fault";"MEM";"";"ATS_Fault_2";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;3;600;10;1;0;"";"";1;1;0;0;"solon.mardapittas@powerstar.com;lee.hudson@powerstar.com";"";"PCS  Comms Fault";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
78;"ATS_Fault_14";"Stop Timeout";"MEM";"";"ATS_Fault_14";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;3;600;10;1;0;"";"";1;1;0;0;"solon.mardapittas@powerstar.com;lee.hudson@powerstar.com";"";"BMS Comms Fail";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
79;"ATS_Fault_15";"BMS Fault";"MEM";"";"ATS_Fault_15";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;3;600;10;1;0;"";"";1;1;0;0;"solon.mardapittas@powerstar.com;lee.hudson@powerstar.com";"";"BMS Fault";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
80;"ATS_Fault_16";"Battery Contactor Off";"MEM";"";"ATS_Fault_16";1;0;0;1;1;1;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;3;600;10;1;0;"";"";1;1;0;0;"solon.mardapittas@powerstar.com;lee.hudson@powerstar.com";"";"DSP Comms Fail";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:54"
81;"PCS_Fault_17";"Module B1 Over Temperature";"MODBUS";"C";"+310203#0";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;2;600;10;-1;0;"";"";1;1;0;0;"tom.csmith@powerstar.com; solon.mardapittas@powerstar.com; martin.cunnington@powerstar.com; james.cross@centrica.com";"tom.csmith@powerstar.com; solon.mardapittas@powerstar.com";"Module B1 Over Temperature";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:56"
82;"PCS_Fault_18";"Module C1 Over Temperature";"MODBUS";"C";"+310203#1";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;-1;0;0;0;0;0;0;2;600;10;-1;0;"";"";1;1;0;0;"tom.csmith@powerstar.com; solon.mardapittas@powerstar.com; martin.cunnington@powerstar.com; james.cross@centrica.com";"tom.csmith@powerstar.com; solon.mardapittas@powerstar.com";"Module C1 Over Temperature";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"05/07/2020 00:12:56"
