"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
769;"setpoint_ps";"";"MODBUS";"A";"510";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"29/06/2020 16:01:53"
770;"inhibit_agg";"";"MODBUS";"A";"4501";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"29/06/2020 16:01:53"
771;"PCS_Monthly_Charge";"Monthly kWh Usage Charge";"MODBUS";"B";"+310086D";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;2;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;3;"";0;"15/07/2020 12:50:19"
772;"PCS_Monthly_Discharge";"Monthly kWh Usage Discharge";"MODBUS";"B";"+310088D";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;2;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;3;"";0;"23/07/2020 15:57:59"
773;"PLC_Year";"Year";"MODBUS";"A";"41001";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"14/07/2020 15:05:25"
774;"PLC_Month";"Month";"MODBUS";"A";"41002";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"14/07/2020 15:05:25"
775;"PLC_Day";"Day";"MODBUS";"A";"41003";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 02:39:29"
776;"PLC_Hour";"Hour";"MODBUS";"A";"41004";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:39:33"
777;"PLC_Minute";"Min";"MODBUS";"A";"41005";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:42:33"
778;"PLC_Second";"Sec";"MODBUS";"A";"41006";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:43:06"
779;"PLC_Available_Power";"Available Power";"MODBUS";"A";"41007";1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;120;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:41:54"
780;"PLC_Available_Energy";"Available Energy";"MODBUS";"A";"41008";1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:43:04"
781;"PLC_Max_Total_Energy";"Max Total Energy";"MODBUS";"A";"41009";1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;120;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:41:54"
782;"PLC_Max_Export_Power";"Max Export Power";"MODBUS";"A";"41010";1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:42:55"
783;"PLC_Max_Import_Power";"Max Import Power";"MODBUS";"A";"41011";1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:42:55"
784;"PLC_Charge_Time";"Charge Time";"MODBUS";"A";"41012";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"23/07/2020 16:35:24"
