"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
1;"Fault_Mem";"Any faults and this is true";"MEM";"";"Fault_Mem";1;0;0;0;0;1;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;"23/07/2020 07:22:40";0;65472
2;"Comms_PCS_1";"";"MODBUS";"A";"Status,1,10.0.33.238";1;0;0;1;0;0;0;0;0;0;1;0;1;1;"PCS Comms Error";2;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"tom.csmith@powerstar.com";"solon.mardapittas@powerstar.com";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"06/07/2020 16:26:49";1;65472
3;"PCS_1_Work_Status";"";"MODBUS";"B";"+310138D";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/07/2020 00:25:23";128;65472
4;"EMS_Power_Setpoint";"";"MODBUS";"B";"+410087I";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"23/07/2020 06:40:18";0;65472
5;"EMS_SoC_1";"";"MODBUS";"B";"+310902";0.1;0;1;1;0;0;0;0;0;0;1;0;1;0;"SoC Alert";96;12;0;0;1;0;0;1;1;600;10;-1;60;"";"";1;1;0;8;"tom.csmith@powerstar.com";"solon@ems-uk.org";"";"";0;0;"";"";0;"";0;"";"";0;1;0;"23/07/2020 14:36:29";90.5;65472
6;"Comms_EMS";"";"MODBUS";"B";"Status";1;0;0;1;0;0;0;0;0;0;0;0;1;1;"EMS Comms Error";2;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"tom.csmith@powerstar.com";"solon.mardapittas@powerstar.com";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"06/07/2020 16:21:37";1;65472
7;"BMS_1_SoH";"";"MODBUS";"B";"+310903";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:36:29";100;65472
8;"BMS_1_Max_V";"";"MODBUS";"B";"+310904";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;120;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:35:55";4.002;65472
9;"BMS_1_Min_V";"";"MODBUS";"B";"+310905";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:36:33";3.981;65472
10;"BMS_1_Max_T";"";"MODBUS";"B";"+310906I";1;0;1;1;0;0;0;0;0;0;1;0;1;1;"BMS 1 Temp";35;0;120;0;0;0;0;0;1;600;10;-1;600;"";"";1;1;0;8;"tom.csmith@powerstar.com";"solon.mardapittas@powerstar.com";"";"";0;0;"";"";0;"";0;"";"";0;2;0;"23/07/2020 14:31:29";27;65472
