"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
1;"Grid_Act_Power";"Grid Bus Active Power";"MODBUS";"B";"+310060I";0.1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 13:01:21";203.9;65472;0
2;"Grid_Reac_Power";"Grid Bus Reactive Power";"MODBUS";"B";"+310061I";0.1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;"";0;0;0;0;1;1;0;0;1;600;10;-1;60;"";"";1;1;0;0;"";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 13:01:21";191.9;65472;0
3;"Grid_Status";"Grid Status";"MODBUS";"B";"+310053";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"09/07/2020 15:18:27";1;65472;0
4;"PCS_Act_Pow";"PCS Bus Active Power";"MODBUS";"C";"+310067";0.001;0;1;0;1;0;0;0;0;0;1;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;30;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 13:01:21";0.04;65472;0
5;"PCS_React_Pow";"PCS Bus Reactive Power";"MODBUS";"C";"+310069I";0.001;0;1;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 13:01:21";0.132;65472;0
6;"Grid_Power_Factor";"Grid Bus Power Factor";"MODBUS";"B";"+310062I";0.001;0;0;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 13:01:21";-0.728;65472;0
7;"ATS_SoC";"SoC from ATS";"MODBUS";"B";"+310701";0.001;0;1;0;1;0;0;0;0;0;1;1;0;1;0;"Virtue Battery Alert";99;19;1;0;1;0;0;0;1;600;60;-1;60;10;"";1;1;0;24;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"Virtue SoC Alert";"&[$dtHL $ftT $st_h1 $et_0 $tnGrid_Act_Power $fnLogFile.txt]";1;0;"";"";0;"";0;"";"";0;"27/01/2008 12:17:08";65.535;65472;0
8;"ATS_SoH";"SoH from ATS";"MODBUS";"B";"+310703";0.1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"09/07/2020 15:18:27";6553.5;65472;0
9;"PCS_Grid_Freq";"PCS Grid Frequency";"MODBUS";"C";"+310072";0.01;0;0;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 13:01:21";49.99;65472;0
10;"PCS_Vab";"AB Line Voltage";"MODBUS";"C";"+310059";0.1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 13:01:21";410.3;65472;0
