Id;Name;Description;ServerName;TopicName;Address;Coef;Offset;LogEnabled;AlEnabled;AlBool;MemTag;MbsTcpEnabled;MbsTcpFloat;SnmpEnabled;RTLogEnabled;AlAutoAck;ForceRO;SnmpOID;AutoType;AlHint;AlHigh;AlLow;AlTimeDB;AlLevelDB;IVGroupA;IVGroupB;IVGroupC;IVGroupD;PageId;RTLogWindow;RTLogTimer;LogDB;LogTimer;AlLoLo;AlHiHi;MbsTcpRegister;MbsTcpCoef;MbsTcpOffset;EEN;ETO;ECC;ESU;EAT;ESH;SEN;STO;SSU;TEN;TSU;FEN;FFN;FCO;KPI;Type;AlStat;ChangeTime;TagValue;TagQuality;AlType
31;"emergency_interlock";"turn me on until the system fully comissioned.";"EWON";"";"DO2";1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;"20/02/2020 18:24:31";1;65472;0
32;"Fault_Mem";"Any faults and this is true";"MEM";"";"Fault_Mem";1;0;0;0;0;1;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;"20/02/2020 18:24:31";0;65472;0
33;"Comms_PCS_1";"";"MODBUS";"A";"Status,1,10.0.33.232";1;0;0;1;0;0;0;0;0;0;1;0;1;1;"PCS Comms Error";2;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"solon.mardapittas@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"21/02/2020 15:47:09";1;65472;0
34;"PCS_1_Work_Status";"";"MODBUS";"B";"+310138D";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"21/02/2020 15:25:49";128;65472;0
35;"EMS_Power_Setpoint";"";"MODBUS";"B";"+410087I";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"21/02/2020 16:32:58";0;65472;0
36;"EMS_SoC_1";"";"MODBUS";"B";"+310902";0.1;0;1;1;0;0;0;0;0;0;1;0;1;0;"SoC Alert";96;12;0;0;1;0;1;1;1;600;10;-1;60;"";"";1;1;0;8;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com,leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"EMS Soc Alert - Safran Virtue";"";1;0;"";"";0;"";0;"";"";0;1;0;"21/02/2020 16:33:12";29.4;65472;0
37;"Comms_EMS";"";"MODBUS";"B";"Status";1;0;0;1;0;0;0;0;0;0;0;0;1;1;"EMS Comms Error";2;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"solon.mardapittas@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;3;0;"21/02/2020 15:46:48";1;65472;0
38;"BMS_1_SoH";"";"MODBUS";"B";"+310903";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"20/02/2020 18:24:31";97;65472;0
39;"BMS_1_Max_V";"";"MODBUS";"B";"+310904";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:33";3.625;65472;0
40;"BMS_1_Min_V";"";"MODBUS";"B";"+310905";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"21/02/2020 16:33:35";3.613;65472;0
