"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
1;"in1";"";"EWON";"";"DO1";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"16/07/2020 21:09:21";1;65472;0
2;"out1";"";"EWON";"";"DO2";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"16/07/2020 21:09:21";0;65472;0
3;"out2";"";"EWON";"";"DO3";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"16/07/2020 21:09:21";0;65472;0
4;"PLC_SoC_A";"";"MODBUS";"B";"43003";0.1;0;1;0;1;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;1;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 14:49:45";50.2;65472;0
6;"EMS_Power_Setpoint";"";"MODBUS";"A";"+410087I,1,10.0.33.231";0.1;0;0;0;2;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;1;1;6;600;10;-1;1;"";"";1;1;0;"";"tom.csmith@powerstar.com";"";"";"";"";"";"";"";"";"";"";"";"";0;"23/07/2020 14:49:51";99;65472;0
7;"EMS_SoC";"";"MODBUS";"A";"+310902,1,10.0.33.231";0.1;0;1;1;1;0;0;0;0;0;0;1;0;1;0;"";97;5;0;0;1;0;1;1;6;600;10;-1;120;"";"";1;1;0;8;"sheeran.chen@powerstar.com";"solon.mardapittas@powerstar.com, leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"EMS SoC Alert - Stoba";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 14:49:43";50.2;65472;0
8;"EMS_Grid_running";"Grid running";"MODBUS";"A";"+313000#4,1,10.0.33.231";1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;6;600;10;1;0;"";"";1;1;0;"";"tom.csmith@powerstar.com";"";"";"";"";"";"";"";"";"";"";"";"";0;"16/07/2020 21:09:25";1;65472;0
9;"EMS_Mgrid_V_AC";"";"MODBUS";"A";"+310077,1,10.0.33.231";0.1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;"";80;20;0;0;1;0;0;0;6;600;10;-1;60;"";"";1;1;0;0;"tom.csmith@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 14:49:51";415.8;65472;0
10;"EMS_Mgrid_Freq";"";"MODBUS";"A";"+310078,1,10.0.33.231";0.01;0;0;0;1;0;0;0;0;0;0;1;0;1;0;"";80;20;0;0;1;0;0;0;6;600;10;-1;60;"";"";1;1;0;0;"tom.csmith@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;"23/07/2020 14:49:45";49.9;65472;0
11;"EMS_Rated_Power";"1 = normal, 0 = abnormal";"MODBUS";"A";"+310051,1,10.0.33.231";0.1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;"";80;20;0;0;1;0;0;0;6;600;10;-1;60;"";"";1;1;0;0;"tom.csmith@powerstar.com";"";"";"";0;0;"";"";0;"";0;"";"";0;"16/07/2020 21:09:25";2000;65472;0
