"Id";"Name";"Description";"ServerName";"TopicName";"Address";"Coef";"Offset";"LogEnabled";"AlEnabled";"Type";"AlBool";"MemTag";"MbsTcpEnabled";"MbsTcpFloat";"SnmpEnabled";"RTLogEnabled";"AlAutoAck";"ForceRO";"SnmpOID";"AutoType";"AlHint";"AlHigh";"AlLow";"AlTimeDB";"AlLevelDB";"IVGroupA";"IVGroupB";"IVGroupC";"IVGroupD";"PageId";"RTLogWindow";"RTLogTimer";"LogDB";"LogTimer";"AlLoLo";"AlHiHi";"MbsTcpRegister";"MbsTcpCoef";"MbsTcpOffset";"EEN";"ETO";"ECC";"ESU";"EAT";"ESH";"SEN";"STO";"SSU";"TEN";"TSU";"FEN";"FFN";"FCO";"AlStat";"ChangeTime";"TagValue";"TagQuality";"AlType"
29;"Fault_Mem";"Any faults and this is true";"MEM";"";"Fault_Mem";1;0;0;0;0;1;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;0;"18/07/2020 20:47:10";0;65472
32;"EMS_Power_Setpoint";"";"MODBUS";"B";"+410087I";1;0;0;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"18/07/2020 20:47:12";0;65472
33;"BMS_1_SoC";"";"MODBUS";"A";"+410003";0.1;0;1;0;0;0;0;0;0;0;1;0;1;0;"SoC Alert";96;12;0;0;1;0;1;1;1;600;10;-1;300;"";"";1;1;0;8;"sheeran.chen@powerstar.com";"leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"EMS Soc Alert - Safran Virtue";"";1;0;"";"";0;"";0;"";"";0;1;0;"23/07/2020 14:27:13";64;65472
35;"BMS_1_SoH";"";"MODBUS";"A";"+410004";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"18/07/2020 20:47:13";99.2;65472
36;"BMS_1_Max_V";"";"MODBUS";"A";"+410005";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:25";3.286;65472
37;"BMS_1_Min_V";"";"MODBUS";"A";"+410006";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:23";3.263;65472
38;"BMS_1_Max_T";"";"MODBUS";"A";"+410007";0.1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"23/07/2020 14:27:13";21;65472
39;"BMS_1_Min_T";"";"MODBUS";"A";"+410008";0.1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"23/07/2020 14:27:13";18;65472
42;"BMS_2_Max_V";"";"MODBUS";"A";"+411005";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:26";3.286;65472
43;"BMS_2_Min_T";"";"MODBUS";"A";"+411008";0.1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;3;0;"23/07/2020 14:27:13";18;65472
44;"BMS_2_Min_V";"";"MODBUS";"A";"+411006";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:26";3.228;65472
45;"BMS_3_Max_T";"";"MODBUS";"B";"+310946I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"01/01/1970 01:00:00";0;12
46;"BMS_3_Max_V";"";"MODBUS";"B";"+310944";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"01/01/1970 01:00:00";0;12
47;"BMS_3_Min_T";"";"MODBUS";"B";"+310947I";1;0;1;0;0;0;0;0;0;0;0;0;1;1;"";0;0;0;0;0;0;0;1;1;600;10;-1;600;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;2;0;"01/01/1970 01:00:00";0;12
48;"BMS_3_Min_V";"";"MODBUS";"B";"+310945";0.001;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;10;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"01/01/1970 01:00:00";0;12
49;"BMS_2_SoC";"";"MODBUS";"A";"+411003";0.1;0;1;0;0;0;0;0;0;0;1;0;1;0;"SoC Alarm";96;12;0;0;1;0;0;1;1;600;10;-1;300;"";"";1;1;0;8;"sheeran.chen@powerstar.com";"leonard.emaki@powerstar.com,ArdaCan.Ertay@powerstar.com,olivia.zeng@powerstar.com";"EMS Soc Alert - Safran Virtue";"";1;0;"";"";0;"";0;"";"";0;1;0;"23/07/2020 14:27:13";64;65472
52;"PCS_1_DC_V";"";"MODBUS";"A";"42021";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;1;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:27";631.8;65472
53;"PCS_1_DC_P";"";"MODBUS";"A";"42020";0.1;0;0;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:27";16.4;65472
54;"PCS_1_Vab";"";"MODBUS";"A";"42009";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:26";354.7;65472
55;"PCS_1_Vbc";"";"MODBUS";"A";"42010";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:26";354.7;65472
56;"PCS_1_Vca";"";"MODBUS";"A";"42011";0.1;0;1;0;0;0;0;0;0;0;0;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;1;0;"23/07/2020 14:29:27";359.1;65472
