Id;Name;Description;ServerName;TopicName;Address;Coef;Offset;LogEnabled;AlEnabled;AlBool;MemTag;MbsTcpEnabled;MbsTcpFloat;SnmpEnabled;RTLogEnabled;AlAutoAck;ForceRO;SnmpOID;AutoType;AlHint;AlHigh;AlLow;AlTimeDB;AlLevelDB;IVGroupA;IVGroupB;IVGroupC;IVGroupD;PageId;RTLogWindow;RTLogTimer;LogDB;LogTimer;AlLoLo;AlHiHi;MbsTcpRegister;MbsTcpCoef;MbsTcpOffset;EEN;ETO;ECC;ESU;EAT;ESH;SEN;STO;SSU;TEN;TSU;FEN;FFN;FCO;KPI;Type;AlStat;ChangeTime;TagValue;TagQuality;AlType
1;"BMS2_Rack_6_Module_Num_of_Min_Cell_Temp_A";"Module Number of Min Cell Temp A";"MODBUS";"A";"43834";1;0;0;0;1;0;0;0;0;0;1;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"07/10/2020 19:59:59";23
2;"BMS2_Rack_6_Cell_Num_of_Min_Cell_Temp_A";"Cell Number of Min Cell Temp A";"MODBUS";"A";"43835";1;0;0;0;1;0;0;0;0;0;1;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"07/10/2020 14:01:49";1
3;"BMS2_Rack_6_Module_Num_of_Min_Cell_Temp_B";"Module Number of Min Cell Temp B";"MODBUS";"A";"43837";1;0;0;0;1;0;0;0;0;0;1;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"07/10/2020 19:59:59";24
4;"BMS2_Rack_6_Cell_Num_of_Min_Cell_Temp_B";"Cell Number of Min Cell Temp B";"MODBUS";"A";"43838";1;0;0;0;1;0;0;0;0;0;1;0;1;0;"";0;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;2;"";0;"07/10/2020 14:01:49";1
5;"BMS2_Rack_7_Current";"BMS Rack 7 Current";"MODBUS";"A";"43851I";0.1;0;1;0;1;0;0;0;0;0;1;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;-1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;"";0;"08/10/2020 06:11:40";0
6;"BMS2_Rack_7_SoH";"BMS Rack 7 SoH";"MODBUS";"A";"43854";0.1;0;1;0;1;0;0;0;0;0;1;0;1;0;"";0;0;0;0;0;0;0;1;1;600;10;0.1;60;"";"";1;1;0;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0;0;1;"";0;"08/10/2020 06:11:40";100
7;"BMS2_Rack_7_Fault_1";"BMS Additional_Protection";"MODBUS";"A";"43855#0";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 Additional_Protection Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
8;"BMS2_Rack_7_Fault_2";"DCSW1 Sensing Fail";"MODBUS";"A";"43856#8";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 DCSW1 Sensing Fail Alarm¶¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
9;"BMS2_Rack_7_Fault_3";"DCSW2 Sensing Fail";"MODBUS";"A";"43856#9";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 DCSW2 Sensing Fail Alarm¶¶¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
10;"BMS2_Rack_7_Fault_4";"DCSW3 Sensing Fail_Fault";"MODBUS";"A";"43856#10";1;0;0;1;1;0;0;0;0;0;1;0;1;0;"";1;0;0;0;0;0;0;0;1;600;10;-1;0;"";"";1;1;0;8;"";"";"BMS_Rack_7 DCSW3 Sensing Fail_Alarm¶";"";0;0;"";"";0;"";0;"";"";0;0;0;"";0;"07/10/2020 14:01:49";0
